seq_num,sel_id,sel_seg,sel_sent,sel_st,sel_en,Ch pt,L1,L2
1,186802_FENm2lcy0NgdYIIB_0087,FENm2lcy0NgdYIIB,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,466,472,28849,H,E
2,205934_JCKcDjCRSqwhyciq_0124,JCKcDjCRSqwhyciq,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,821,828,33867,H,E
3,320706_m5VP8pQmzNMAxD8C_0124,m5VP8pQmzNMAxD8C,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,821,828,33165,H,E
4,370508_Pkfe2ljs0lLX5NN1_0082,Pkfe2ljs0lLX5NN1,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,456,462,43122,H,E
5,413057_aKSsdMqkPfUWyYeS_0066,aKSsdMqkPfUWyYeS,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,416,423,30916,H,E
7,634568_jCgweujQVV5haVF1_0087,jCgweujQVV5haVF1,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,442,448,33606,H,E
8,797767_TRInoJRJxAX3qv5C_0066,TRInoJRJxAX3qv5C,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,414,421,22766,H,E
9,876898_RyQSvr4r4iAMTYXq_0092,RyQSvr4r4iAMTYXq,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,539,545,29978,H,E
10,888061_PXm2Gdm6liIAnviw_0110,PXm2Gdm6liIAnviw,अधिक जानकारी के लिए कृपया हमें contact @spoken hyphen tutorial org पर लिखें,698,705,39067,H,E
11,156870_idPReRVLlCfGjTWX_0078,idPReRVLlCfGjTWX,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,420,427,27262,H,E
12,208711_z98W1r9OPyYYWZsZ_0076,z98W1r9OPyYYWZsZ,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,321,329,25536,H,E
13,244699_DlbETdT8118YRduH_0092,DlbETdT8118YRduH,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,482,490,30033,H,E
14,345601_RIcCNm64Dhwz0BqN_0099,RIcCNm64Dhwz0BqN,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,497,505,23887,H,E
15,480565_3mWOmwFFebHmIWPu_0051,3mWOmwFFebHmIWPu,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,277,285,34671,H,E
16,570275_uT0nyuEjuQwXGN2U_0115,uT0nyuEjuQwXGN2U,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,619,626,28192,H,E
17,591683_nm49QdiDDhSduN6T_0114,nm49QdiDDhSduN6T,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,544,551,28192,H,E
18,658158_lm1lnQAWJU9qvDn0_0088,lm1lnQAWJU9qvDn0,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,486,493,25281,H,E
19,727902_Znen7HF4LvsWgSXU_0121,Znen7HF4LvsWgSXU,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,731,739,22413,H,E
20,769934_NRTQSjcEDfLhZ4Xy_0082,NRTQSjcEDfLhZ4Xy,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,358,366,25040,H,E
21,980386_hqI45j8VjPC5M3g0_0060,hqI45j8VjPC5M3g0,अधिक जानकारी के लिए contact @spoken hyphen tutorial dot org पर लिखें,383,391,28367,H,E
22,113086_x2kPwHs0vMsKFX3o_0109,x2kPwHs0vMsKFX3o,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,709,721,60411,E,H
23,366844_COdA4bWe5rVSeMHt_0114,COdA4bWe5rVSeMHt,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,719,731,76433,E,H
24,402585_ujvHWeCKwWLKGK8g_0100,ujvHWeCKwWLKGK8g,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,585,597,70392,E,H
25,419175_h8yiyNkU2Sgr8gwD_0114,h8yiyNkU2Sgr8gwD,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,632,644,68028,E,H
26,472901_IlbClMiXv87cDDlB_0059,IlbClMiXv87cDDlB,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,428,440,63037,E,H
27,651913_eww4lwXvRyS2ByF5_0094,eww4lwXvRyS2ByF5,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,530,541,58266,E,H
28,665934_xLjklAB1HVdHfnJG_0103,xLjklAB1HVdHfnJG,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,707,719,56471,E,H
29,693909_KVjzph1lN8faWkTM_0088,KVjzph1lN8faWkTM,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,552,564,64351,E,H
